ID,Active (0/1),Name *,Categories,Reference #,Price tax excluded or Price tax included,Product cost,Quantity,Image ,Default shop,,
,1,EDUCACION SEXUAL NO. 1,Grade-1,9789945120974,1500,1000,10,,7,,
,1,EDUCACION SEXUAL NO. 2,Grade-2,9789945120981,1500,1000,10,,2,,
,1,EDUCACION SEXUAL NO. 3,Grade-3,9789945120998,1500,1000,10,,1,,
,1,EDUCACION SEXUAL NO. 4,Grade-4,9789945121001,1500,1000,10,,1,,
,1,EDUCACION SEXUAL NO. 5,Grade-5,9789945121018,1500,1000,10,,1,,
,1,EDUCACION SEXUAL NO. 6,Grade-6,9789945121025,1500,1000,10,,1,,
,1,EDUCACION SEXUAL NO. 7,Grade-7,9789945121032,1500,1000,10,,1,,
,1,EDUCACION SEXUAL NO. 8,Grade-8,9789945121049,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 1,Grade-1,9789945121087,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 2,Grade-2,9789945121094,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 3,Grade-3,9789945121100,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 4,Grade-4,9789945121117,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 5,Grade-5,9789945121124,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 6,Grade-6,9789945121131,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 7,Grade-7,9789945121148,1500,1000,10,,1,,
,1,ENCUENTRO CON JESUS NO. 8,Grade-8,9789945121155,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 1 (SERIE QUISQUEYA),Grade-1,9789945122909,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 2 (SERIE QUISQUEYA),Grade-2,9789945122947,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 3 (SERIE QUISQUEYA),Grade-3,9789945122916,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 4 (SERIE QUISQUEYA),Grade-4,9789945122954,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 5 (SERIE QUISQUEYA),Grade-5,9789945122923,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 6 (SERIE QUISQUEYA),Grade-6,9789945122930,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 7 (SERIE QUISQUEYA),Grade-7,9789945122978,1500,1000,10,,1,,
,1,ESTUDIOS SOCIALES NO. 8 (SERIE QUISQUEYA),Grade-8,9789945122985,1500,1000,10,,1,,
,1,FRANCES NO. 5 CUADERNO (C'ESTPARTI!),Grade-9,7467634947447,1500,1000,10,,1,,
,1,FRANCES NO. 5 LIBRO (C'ESTPARTI!),Grade-9,7467634947386,1500,1000,10,,1,,
,1,FRANCES NO. 6 CUADERNO (C'ESTPARTI!),Grade-9,7467634947454,1500,1000,10,,1,,
,1,FRANCES NO. 6 LIBRO (C'ESTPARTI!),Grade-9,7467634947393,1500,1000,10,,1,,
,1,LENGUA ESPAÑOLA NO. 1 (SERIE QUISQUEYA),Grade-1,9789945121605,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 2 (SERIE QUISQUEYA),Grade-2,9789945121612,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 3 (SERIE QUISQUEYA),Grade-3,9789945121629,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 4 (SERIE QUISQUEYA),Grade-4,9789945121636,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 5 (SERIE QUISQUEYA),Grade-5,9789945121643,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 6 (SERIE QUISQUEYA),Grade-6,9789945121650,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 7 (SERIE QUISQUEYA),Grade-7,9789945121667,1500,1000,10,,1,,
,1,LENGUA ESPANOLA NO. 8 (SERIE QUISQUEYA),Grade-8,9789945121674,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 01,Grade-1,9789945122466,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 02,Grade-2,9789945122473,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 03,Grade-3,9789945122480,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 1,Grade-4,9789945121223,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 2,Grade-5,9789945121230,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 3,Grade-6,9789945121247,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 4,Grade-7,9789945121254,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 5,Grade-8,9789945121261,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 6,,9789945121278,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 7,,9789945121285,1500,1000,10,,1,,
,1,MATEMATICA APLICADA NO. 8,,9789945121292,1500,1000,10,,1,,
